City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,76.05,light rain,-23.1203,-134.9692,Pension Maro'i
3,Bethel,US,76.19,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
5,Samarai,PG,78.33,light rain,-10.6167,150.6667,Nuli Sapi
17,Touros,BR,74.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
19,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Saint-Philippe,RE,79.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Ayapel,CO,75.07,overcast clouds,8.3137,-75.1398,Hotel Colsama
31,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
57,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
59,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
61,Hasaki,JP,73.69,light rain,35.7333,140.8333,Hotel Sunrise Choshi
66,Atuona,PF,79.2,few clouds,-9.8,-139.0333,Villa Enata
67,Hervey Bay,AU,72.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
76,Kpalime,TG,72.3,overcast clouds,6.9,0.6333,Hotel La Lumiere Kpalimé
77,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
80,Panguna,PG,74.73,light rain,-6.3164,155.4848,
89,Damara,CF,74.62,light rain,4.9608,18.7035,
90,Manono,CD,74.97,scattered clouds,-7.3,27.4167,Hotel hewa bora
96,Mastic Beach,US,77.67,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
102,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
108,Clinton,US,76.05,clear sky,42.586999999999996,-82.9199,Hampton Inn Detroit/Roseville
123,Vozdvizhenka,RU,73.15,scattered clouds,43.9,131.95,
131,Ceres,US,77.58,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
135,Wilmington Island,US,79.99,overcast clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
136,Palmer,US,74.37,clear sky,42.1584,-72.3287,Wedgewood Motel
137,Cockburn Town,TC,79.93,clear sky,21.4612,-71.1419,Osprey Beach Hotel
138,Abonnema,NG,74.48,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
146,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
147,Hilo,US,75.2,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
152,Shelburne,CA,73.89,broken clouds,44.0787,-80.2041,The Retreat at the Farm
155,Puerto Ayora,EC,72.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
166,Lagos,NG,77.32,broken clouds,6.5833,3.75,
172,Bubaque,GW,79.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
173,Moroni,KM,78.15,light rain,-11.7022,43.2551,Hotel les Arcades
174,Bagado,CO,75.09,overcast clouds,5.4116,-76.4152,Hotel San Jose
175,Tucuma,BR,75.13,scattered clouds,-0.1833,-50.05,
182,Gamboma,CG,73.92,overcast clouds,-1.8764,15.8644,Residence N'Keni
190,Yeppoon,AU,74.98,clear sky,-23.1333,150.7333,Villa Mar Colina
193,Yarmouth,US,72.0,clear sky,41.7057,-70.2286,Blue Rock Resort
194,Zhanaozen,KZ,78.28,few clouds,43.3,52.8,K.korabay 28A
195,Nagua,DO,74.44,few clouds,19.3832,-69.8474,Hotel Cambri
196,Tiarei,PF,78.82,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
206,Loandjili,CG,77.11,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
207,San Angelo,US,73.62,clear sky,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
209,Adre,TD,77.58,broken clouds,13.4667,22.2,
218,Natal,BR,75.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
219,Columbia,US,73.04,scattered clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
221,Bambous Virieux,MU,79.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
224,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
234,Karratha,AU,79.61,broken clouds,-20.7377,116.8463,ibis Styles Karratha
237,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
241,Duverge,DO,74.84,clear sky,18.3784,-71.5247,Hotel La Casona
243,Arraial Do Cabo,BR,72.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
250,Saint-Pierre,RE,79.29,light rain,-21.3393,55.4781,Lindsey Hôtel
252,Itarema,BR,75.49,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
257,Morehead,US,73.11,light intensity drizzle,37.2711,-87.1764,CCI Express Inn
258,Koumac,NC,72.79,overcast clouds,-20.5667,164.2833,Le Monitel
261,Tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
263,Brigantine,US,75.4,clear sky,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
268,Pentecoste,BR,78.01,clear sky,-3.7928,-39.2703,Motel Big love
271,Rudnichnyy,RU,72.45,few clouds,59.617,52.4703,
279,Zyryanka,RU,76.3,clear sky,65.75,150.85,
281,Bukachacha,RU,79.83,scattered clouds,52.9833,116.9167,
284,Saint-Joseph,RE,78.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
286,Katsuura,JP,73.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
287,Ust-Nera,RU,79.16,overcast clouds,64.5667,143.2,Hotel Ust-Nera
294,Vagay,RU,77.13,scattered clouds,57.9375,69.0217,
300,Barreirinhas,BR,75.38,clear sky,-2.7469,-42.8264,Gran Lençóis Flat Residence
315,Orangeburg,US,73.67,few clouds,33.4918,-80.8557,Palmetto Inn & Suites
317,Coari,BR,73.45,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
319,Trairi,BR,76.35,clear sky,-3.2778,-39.2689,janelas do mar
320,Harper,LR,76.33,moderate rain,4.375,-7.7169,Screensaver
321,Saint-Paul,RE,79.74,light rain,-21.0096,55.2707,Boucan Canot
322,Bundaberg,AU,72.21,overcast clouds,-24.85,152.35,Takalvan Motel
327,Ouro Preto Do Oeste,BR,73.62,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
330,Saint-Leu,RE,79.0,light rain,-21.15,55.2833,La Caz Oceane
335,Acarau,BR,75.34,clear sky,-2.8856,-40.12,castelo pizzaria
338,Carutapera,BR,74.21,broken clouds,-1.195,-46.02,Lidera
347,Jalu,LY,73.36,clear sky,29.0331,21.5482,صاحبة الفخامة
351,Nioro,GM,76.59,clear sky,13.35,-15.75,
352,Soe,ID,76.71,broken clouds,-9.8607,124.28399999999999,Dena Hotel
357,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
361,Conceicao Do Araguaia,BR,78.93,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
362,Ladario,BR,77.31,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
381,Sinnamary,GF,77.04,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
385,Maragogi,BR,74.79,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
386,Sao Filipe,CV,74.93,overcast clouds,14.8961,-24.4956,Hotel Xaguate
388,Lovington,US,78.42,overcast clouds,32.944,-103.3485,Buena vida rv parks
392,Pitimbu,BR,73.4,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
396,Bonthe,SL,79.02,broken clouds,7.5264,-12.505,Bonthe Holiday Village
397,Mayo,US,76.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
404,Castanos,MX,79.34,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
406,Wau,SS,76.53,overcast clouds,7.7029,27.9953,Universal Gab Hotel
410,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
418,Itamaraca,BR,73.4,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
419,Cabedelo,BR,74.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
423,Santa Isabel Do Rio Negro,BR,72.28,overcast clouds,-0.4139,-65.0192,Hotel GSA
424,Axim,GH,78.3,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
434,Virginia Beach,US,76.01,clear sky,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
436,Tabou,CI,75.85,moderate rain,4.423,-7.3528,hotêl doufoulougou
437,Buchanan,LR,77.0,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
438,Puerto Ayacucho,VE,74.01,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
