City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rio Gallegos,AR,2021-06-06 06:21:27,-51.6226,-69.2181,35.65,69,0,11.5,clear sky
1,Rikitea,PF,2021-06-06 06:21:49,-23.1203,-134.9692,76.05,83,72,15.9,light rain
2,Suntar,RU,2021-06-06 06:21:49,62.1444,117.6319,52.77,73,100,2.91,overcast clouds
3,Bethel,US,2021-06-06 06:21:49,41.3712,-73.414,76.19,73,1,0.0,clear sky
4,Ancud,CL,2021-06-06 06:21:50,-41.8697,-73.8203,46.22,83,96,4.76,overcast clouds
5,Samarai,PG,2021-06-06 06:21:50,-10.6167,150.6667,78.33,87,94,16.28,light rain
6,Darlowo,PL,2021-06-06 06:21:50,54.421,16.4107,60.94,65,13,4.05,few clouds
7,Upernavik,GL,2021-06-06 06:21:51,72.7868,-56.1549,33.51,83,2,3.13,clear sky
8,Soubre,CI,2021-06-06 06:21:52,5.7856,-6.6083,71.96,99,74,2.08,broken clouds
9,Nishihara,JP,2021-06-06 06:21:53,26.1842,127.7558,85.66,76,75,17.76,broken clouds
10,Buenos Aires,AR,2021-06-06 06:21:42,-34.6132,-58.3772,49.73,61,0,5.75,clear sky
11,Mataura,NZ,2021-06-06 06:21:54,-46.1927,168.8643,49.48,95,29,0.54,scattered clouds
12,Saskylakh,RU,2021-06-06 06:21:54,71.9167,114.0833,46.0,42,87,12.1,overcast clouds
13,Punta Arenas,CL,2021-06-06 06:21:55,-53.15,-70.9167,37.51,81,90,13.91,light rain
14,Yellowknife,CA,2021-06-06 06:21:02,62.456,-114.3525,51.3,62,20,8.01,few clouds
15,Banepa,NP,2021-06-06 06:17:11,27.6298,85.5214,80.92,57,40,5.06,scattered clouds
16,Golitsyno,RU,2021-06-06 06:21:56,55.6122,36.9833,68.07,59,20,8.55,few clouds
17,Touros,BR,2021-06-06 06:21:56,-5.1989,-35.4608,74.3,91,52,11.23,broken clouds
18,Ushuaia,AR,2021-06-06 06:21:47,-54.8,-68.3,31.66,93,0,3.44,clear sky
19,Kapaa,US,2021-06-06 06:20:35,22.0752,-159.319,77.32,76,40,1.99,scattered clouds
20,Saint-Philippe,RE,2021-06-06 06:21:57,-21.3585,55.7679,79.21,80,60,2.53,light rain
21,Victoria,HK,2021-06-06 06:21:17,22.2855,114.1577,87.96,69,30,1.01,scattered clouds
22,Ayapel,CO,2021-06-06 06:21:58,8.3137,-75.1398,75.07,96,98,2.37,overcast clouds
23,Fort Nelson,CA,2021-06-06 06:21:58,58.8053,-122.7002,51.39,93,75,4.61,light rain
24,Hermanus,ZA,2021-06-06 06:21:58,-34.4187,19.2345,58.95,39,22,9.17,few clouds
25,Linjiang,CN,2021-06-06 06:21:59,41.8069,126.9078,69.66,58,84,5.32,moderate rain
26,Mangrol,IN,2021-06-06 06:21:59,21.1167,70.1167,89.2,56,5,10.69,clear sky
27,Salalah,OM,2021-06-06 06:21:13,17.0151,54.0924,89.69,66,40,9.22,scattered clouds
28,Cabra,ES,2021-06-06 06:22:00,37.4725,-4.4421,66.9,71,0,3.15,clear sky
29,Castro,BR,2021-06-06 06:22:00,-24.7911,-50.0119,57.61,72,64,2.48,broken clouds
30,Bengkulu,ID,2021-06-06 06:22:01,-3.8004,102.2655,84.31,67,14,6.8,few clouds
31,Grand Gaube,MU,2021-06-06 06:22:01,-20.0064,57.6608,79.38,73,70,1.99,broken clouds
32,Seoul,KR,2021-06-06 06:20:00,37.5683,126.9778,84.61,47,20,8.68,few clouds
33,Najran,SA,2021-06-06 06:22:02,17.4924,44.1277,93.85,13,0,1.36,clear sky
34,Butaritari,KI,2021-06-06 06:22:02,3.0707,172.7902,83.08,73,24,6.6,light rain
35,Pilar,BR,2021-06-06 06:22:03,-9.5972,-35.9567,69.73,94,22,1.03,few clouds
36,Balkanabat,TM,2021-06-06 06:22:03,39.5108,54.3671,80.22,47,6,12.21,clear sky
37,Torbay,CA,2021-06-06 06:22:03,47.6666,-52.7314,54.88,98,90,17.27,overcast clouds
38,Busselton,AU,2021-06-06 06:22:04,-33.65,115.3333,64.04,57,74,16.75,broken clouds
39,New Norfolk,AU,2021-06-06 06:22:04,-42.7826,147.0587,51.93,58,100,4.52,overcast clouds
40,Xichang,CN,2021-06-06 06:22:05,27.8964,102.2634,69.01,79,99,0.27,overcast clouds
41,Ouadda,CF,2021-06-06 06:22:05,8.0777,22.4007,67.41,92,100,6.11,overcast clouds
42,Tuktoyaktuk,CA,2021-06-06 06:22:06,69.4541,-133.0374,33.64,83,18,8.99,few clouds
43,Kamaishi,JP,2021-06-06 06:22:06,39.2667,141.8833,83.35,64,87,11.1,overcast clouds
44,Viedma,AR,2021-06-06 06:22:07,-40.8135,-62.9967,44.83,55,0,7.65,clear sky
45,San Policarpo,PH,2021-06-06 06:22:07,12.1791,125.5072,84.31,74,74,1.5,broken clouds
46,Vaini,TO,2021-06-06 06:22:07,-21.2,-175.2,71.76,88,75,0.0,broken clouds
47,Georgetown,MY,2021-06-06 06:22:08,5.4112,100.3354,89.55,70,40,1.01,scattered clouds
48,Arman,RU,2021-06-06 06:22:09,59.7,150.1667,43.68,88,100,3.91,overcast clouds
49,Springfield,US,2021-06-06 06:17:22,37.2153,-93.2982,69.03,92,1,5.99,clear sky
50,Ambilobe,MG,2021-06-06 06:22:10,-13.2,49.05,81.43,64,62,3.47,broken clouds
51,Waingapu,ID,2021-06-06 06:22:10,-9.6567,120.2641,85.78,62,38,11.68,scattered clouds
52,Mora,CM,2021-06-06 06:22:11,11.0461,14.1401,85.01,46,92,6.58,overcast clouds
53,Jamestown,US,2021-06-06 06:22:11,42.097,-79.2353,69.39,80,1,1.99,clear sky
54,Port Lincoln,AU,2021-06-06 06:22:11,-34.7333,135.8667,65.26,56,45,19.35,scattered clouds
55,Norman Wells,CA,2021-06-06 06:22:12,65.282,-126.8329,44.64,81,90,13.8,light rain
56,Ribeira Grande,PT,2021-06-06 06:22:12,38.5167,-28.7,64.8,88,40,9.22,scattered clouds
57,Isangel,VU,2021-06-06 06:22:13,-19.55,169.2667,77.11,65,75,15.93,broken clouds
58,Ahipara,NZ,2021-06-06 06:22:13,-35.1667,173.1667,58.35,95,100,10.13,light rain
59,Carnarvon,AU,2021-06-06 06:22:13,-24.8667,113.6333,73.47,60,90,12.66,overcast clouds
60,Richards Bay,ZA,2021-06-06 06:18:00,-28.783,32.0377,61.47,83,86,2.64,overcast clouds
61,Hasaki,JP,2021-06-06 06:22:15,35.7333,140.8333,73.69,97,100,4.29,light rain
62,Louis Trichardt,ZA,2021-06-06 06:22:15,-23.0439,29.9032,50.29,76,41,4.94,scattered clouds
